event_year,event_type,form,n_matches
1995,appointment,8-K,2
1995,departure,8-K,6
1996,appointment,8-K,129
1996,appointment,8-K/A,2
1996,appointment,DEF 14A,18
1996,appointment,DEFA14A,2
1996,departure,8-K,198
1996,departure,8-K/A,10
1996,departure,DEF 14A,38
1996,departure,DEFA14A,3
1997,appointment,8-K,471
1997,appointment,8-K/A,13
1997,appointment,DEF 14A,121
1997,appointment,DEFA14A,20
1997,departure,8-K,318
1997,departure,8-K/A,9
1997,departure,DEF 14A,58
1997,departure,DEFA14A,4
1998,appointment,8-K,576
1998,appointment,8-K/A,21
1998,appointment,DEF 14A,119
1998,appointment,DEFA14A,5
1998,departure,8-K,429
1998,departure,8-K/A,27
1998,departure,DEF 14A,82
1998,departure,DEFA14A,1
1999,appointment,8-K,640
1999,appointment,8-K/A,48
1999,appointment,DEF 14A,146
1999,appointment,DEFA14A,12
1999,departure,8-K,517
1999,departure,8-K/A,16
1999,departure,DEF 14A,100
1999,departure,DEFA14A,4
2000,appointment,8-K,900
2000,appointment,8-K/A,56
2000,appointment,DEF 14A,172
2000,appointment,DEFA14A,7
2000,departure,8-K,782
2000,departure,8-K/A,28
2000,departure,DEF 14A,124
2000,departure,DEFA14A,10
2001,appointment,8-K,880
2001,appointment,8-K/A,49
2001,appointment,DEF 14A,166
2001,appointment,DEFA14A,16
2001,departure,8-K,688
2001,departure,8-K/A,23
2001,departure,DEF 14A,151
2001,departure,DEFA14A,7
2002,appointment,8-K,892
2002,appointment,8-K/A,40
2002,appointment,DEF 14A,148
2002,appointment,DEFA14A,16
2002,departure,8-K,828
2002,departure,8-K/A,14
2002,departure,DEF 14A,126
2002,departure,DEFA14A,12
2003,appointment,8-K,1296
2003,appointment,8-K/A,20
2003,appointment,DEF 14A,116
2003,appointment,DEFA14A,2
2003,departure,8-K,1137
2003,departure,8-K/A,26
2003,departure,DEF 14A,100
2003,departure,DEFA14A,7
2004,appointment,8-K,1714
2004,appointment,8-K/A,34
2004,appointment,DEF 14A,115
2004,appointment,DEFA14A,27
2004,departure,8-K,1457
2004,departure,8-K/A,26
2004,departure,DEF 14A,80
2004,departure,DEFA14A,17
2005,appointment,8-K,2152
2005,appointment,8-K/A,45
2005,appointment,DEF 14A,71
2005,appointment,DEFA14A,8
2005,departure,8-K,1811
2005,departure,8-K/A,59
2005,departure,DEF 14A,64
2005,departure,DEFA14A,10
2006,appointment,8-K,2180
2006,appointment,8-K/A,65
2006,appointment,DEF 14A,89
2006,appointment,DEFA14A,12
2006,departure,8-K,1972
2006,departure,8-K/A,41
2006,departure,DEF 14A,102
2006,departure,DEFA14A,10
2007,appointment,8-K,2371
2007,appointment,8-K/A,45
2007,appointment,DEF 14A,99
2007,appointment,DEFA14A,32
2007,departure,8-K,2058
2007,departure,8-K/A,49
2007,departure,DEF 14A,89
2007,departure,DEFA14A,29
2008,appointment,8-K,2311
2008,appointment,8-K/A,65
2008,appointment,DEF 14A,96
2008,appointment,DEFA14A,37
2008,departure,8-K,2107
2008,departure,8-K/A,41
2008,departure,DEF 14A,109
2008,departure,DEFA14A,38
2009,appointment,8-K,2045
2009,appointment,8-K/A,39
2009,appointment,DEF 14A,77
2009,appointment,DEFA14A,49
2009,departure,8-K,1885
2009,departure,8-K/A,39
2009,departure,DEF 14A,88
2009,departure,DEFA14A,40
2010,appointment,8-K,2167
2010,appointment,8-K/A,31
2010,appointment,DEF 14A,91
2010,appointment,DEFA14A,61
2010,departure,8-K,1888
2010,departure,8-K/A,25
2010,departure,DEF 14A,88
2010,departure,DEFA14A,53
2011,appointment,8-K,2230
2011,appointment,8-K/A,60
2011,appointment,DEF 14A,87
2011,appointment,DEFA14A,73
2011,departure,8-K,2049
2011,departure,8-K/A,62
2011,departure,DEF 14A,71
2011,departure,DEFA14A,53
2012,appointment,8-K,2313
2012,appointment,8-K/A,45
2012,appointment,DEF 14A,83
2012,appointment,DEFA14A,69
2012,departure,8-K,2197
2012,departure,8-K/A,43
2012,departure,DEF 14A,108
2012,departure,DEFA14A,79
2013,appointment,8-K,2351
2013,appointment,8-K/A,51
2013,appointment,DEF 14A,79
2013,appointment,DEFA14A,93
2013,departure,8-K,2242
2013,departure,8-K/A,39
2013,departure,DEF 14A,68
2013,departure,DEFA14A,100
2014,appointment,8-K,2410
2014,appointment,8-K/A,30
2014,appointment,DEF 14A,75
2014,appointment,DEFA14A,75
2014,departure,8-K,2467
2014,departure,8-K/A,26
2014,departure,DEF 14A,79
2014,departure,DEFA14A,66
2015,appointment,8-K,2261
2015,appointment,8-K/A,40
2015,appointment,DEF 14A,97
2015,appointment,DEFA14A,76
2015,departure,8-K,2504
2015,departure,8-K/A,49
2015,departure,DEF 14A,101
2015,departure,DEFA14A,98
2016,appointment,8-K,2192
2016,appointment,8-K/A,36
2016,appointment,DEF 14A,80
2016,appointment,DEFA14A,66
2016,departure,8-K,2341
2016,departure,8-K/A,37
2016,departure,DEF 14A,101
2016,departure,DEFA14A,83
2017,appointment,8-K,2038
2017,appointment,8-K/A,59
2017,appointment,DEF 14A,95
2017,appointment,DEFA14A,63
2017,departure,8-K,2262
2017,departure,8-K/A,57
2017,departure,DEF 14A,89
2017,departure,DEFA14A,85
2018,appointment,8-K,1986
2018,appointment,8-K/A,43
2018,appointment,DEF 14A,73
2018,appointment,DEFA14A,58
2018,departure,8-K,2223
2018,departure,8-K/A,41
2018,departure,DEF 14A,80
2018,departure,DEFA14A,95
2019,appointment,8-K,1910
2019,appointment,8-K/A,37
2019,appointment,DEF 14A,74
2019,appointment,DEFA14A,65
2019,departure,8-K,2089
2019,departure,8-K/A,34
2019,departure,DEF 14A,110
2019,departure,DEFA14A,97
2020,appointment,8-K,1691
2020,appointment,8-K/A,17
2020,appointment,DEF 14A,49
2020,appointment,DEFA14A,58
2020,departure,8-K,2066
2020,departure,8-K/A,29
2020,departure,DEF 14A,69
2020,departure,DEFA14A,113
2021,appointment,8-K,1577
2021,appointment,8-K/A,20
2021,appointment,DEF 14A,45
2021,appointment,DEFA14A,65
2021,departure,8-K,2009
2021,departure,8-K/A,27
2021,departure,DEF 14A,82
2021,departure,DEFA14A,76
2022,appointment,8-K,1418
2022,appointment,8-K/A,36
2022,appointment,DEF 14A,47
2022,appointment,DEFA14A,61
2022,departure,8-K,1933
2022,departure,8-K/A,39
2022,departure,DEF 14A,95
2022,departure,DEFA14A,85
2023,appointment,8-K,1173
2023,appointment,8-K/A,33
2023,appointment,DEF 14A,29
2023,appointment,DEFA14A,43
2023,departure,8-K,1708
2023,departure,8-K/A,48
2023,departure,DEF 14A,78
2023,departure,DEFA14A,81
2024,appointment,8-K,908
2024,appointment,8-K/A,18
2024,appointment,DEF 14A,37
2024,appointment,DEFA14A,58
2024,departure,8-K,1437
2024,departure,8-K/A,25
2024,departure,DEF 14A,57
2024,departure,DEFA14A,81
