date,one_way_turnover
1995-01-31,
1995-02-28,0.2048458149779735
1995-03-31,0.1978021978021979
1995-04-28,0.18558951965065507
1995-05-31,0.21739130434782605
1995-06-30,0.23527221270574217
1995-07-31,0.18669527896995708
1995-08-31,0.1471215351812367
1995-09-29,0.15498938428874737
1995-10-31,0.22678945792153338
1995-11-30,0.23347107438016526
1995-12-29,0.2183673469387755
1996-01-31,0.44512195121951215
1996-02-29,0.43058350100603626
1996-03-29,0.18800000000000006
1996-04-30,0.22376237623762377
1996-05-31,0.20770499980814247
1996-06-28,0.23404255319148937
1996-07-31,0.21497120921305185
1996-08-30,0.21091117668703685
1996-09-30,0.22033898305084748
1996-10-31,0.2029795158286778
1996-11-29,0.20073664825046036
1996-12-31,0.20733944954128442
1997-01-31,0.4567908594138103
1997-02-28,0.427797833935018
1997-03-31,0.2158273381294964
1997-04-30,0.2558139534883721
1997-05-30,0.26544807505661605
1997-06-30,0.2460176991150442
1997-07-31,0.20701754385964904
1997-08-29,0.1588132635253054
1997-09-30,0.14211438474870025
1997-10-31,0.2607204116638078
1997-11-28,0.2653061224489796
1997-12-31,0.2182741116751269
1998-01-30,0.3949579831932773
1998-02-27,0.3439065108514191
1998-03-31,0.1611295681063123
1998-04-30,0.1795716639209226
1998-05-29,0.1718494271685761
1998-06-30,0.20421393841166946
1998-07-31,0.19967793880837353
1998-08-31,0.2118780096308186
1998-09-30,0.22916666666666669
1998-10-30,0.2175999999999999
1998-11-30,0.1952
1998-12-31,0.1961722488038278
1999-01-29,0.35106619224266283
1999-02-26,0.3949447077409163
1999-03-31,0.26813880126182965
1999-04-30,0.24332810047095754
1999-05-28,0.26120402973395934
1999-06-30,0.2744186046511628
1999-07-30,0.20890937019969275
1999-08-31,0.18778625954198475
1999-09-30,0.16565349544072946
1999-10-29,0.20503734394591938
1999-11-30,0.20350778264099606
1999-12-31,0.20059435364041617
2000-01-31,0.43703703703703706
2000-02-29,0.4516129032258064
2000-03-31,0.18658892128279886
2000-04-28,0.2384393063583815
2000-05-31,0.2118155619596542
2000-06-30,0.23462088698140193
2000-07-31,0.24964539007092193
2000-08-31,0.2514044943820226
2000-09-29,0.22097902097902095
2000-10-31,0.18688981868898188
2000-11-30,0.1972222222222222
2000-12-29,0.20388349514563112
2001-01-31,0.3905817174515236
2001-02-28,0.4094052558782849
2001-03-30,0.2717241379310346
2001-04-30,0.24551724137931033
2001-05-31,0.2751031636863823
2001-06-29,0.23319615912208513
2001-07-31,0.1751025991792065
2001-08-31,0.18579234972677597
2001-09-28,0.17752294261922336
2001-10-31,0.23024523160762944
2001-11-30,0.2672998643147897
2001-12-31,0.27063599458728
2002-01-31,0.39164751796330755
2002-02-28,0.36927223719676544
2002-03-28,0.2435183577186356
2002-04-30,0.2697986577181209
2002-05-31,0.2878179384203481
2002-06-28,0.2632547496483725
2002-07-31,0.27999999999999997
2002-08-30,0.27991122947181535
2002-09-30,0.17727829560585884
2002-10-31,0.2513297872340426
2002-11-29,0.2518998015001669
2002-12-31,0.22985468956406863
2003-01-31,0.41238471673254273
2003-02-28,0.3845000346716594
2003-03-31,0.21861694750710772
2003-04-30,0.3092105263157895
2003-05-30,0.3254593175853018
2003-06-30,0.23591087811271297
2003-07-31,0.1882352941176471
2003-08-29,0.20703124999999997
2003-09-30,0.27178153446033804
2003-10-31,0.2772020725388601
2003-11-28,0.24355670103092789
2003-12-31,0.26504481434058896
2004-01-30,0.4802043422733077
2004-02-27,0.47176283823324966
2004-03-31,0.28101265822784816
2004-04-30,0.3064312736443884
2004-05-28,0.3011292346298621
2004-06-30,0.24594257178526835
2004-07-30,0.21091811414392062
2004-08-31,0.2286773794808406
2004-09-30,0.22441430332922307
2004-10-29,0.24049079754601227
2004-11-30,0.2518337408312959
2004-12-31,0.23907766990291268
2005-01-31,0.3232445520581113
2005-02-28,0.32048192771084333
2005-03-31,0.17228915662650604
2005-04-29,0.2761104441776712
2005-05-31,0.33811230585424135
2005-06-30,0.30760095011876476
2005-07-29,0.2686390532544379
2005-08-31,0.28150765606596
2005-09-30,0.2823529411764706
2005-10-31,0.2852112676056337
2005-11-30,0.2335680751173709
2005-12-30,0.2453051643192488
2006-01-31,0.3335512487380215
2006-02-28,0.3500719492410605
2006-03-31,0.27915194346289757
2006-04-28,0.2037691401648999
2006-05-31,0.2847058823529412
2006-06-30,0.2831962397179788
2006-07-31,0.19271445358401879
2006-08-31,0.23266745005875442
2006-09-29,0.2655699177438307
2006-10-31,0.2822658464090689
2006-11-30,0.2587516416672427
2006-12-29,0.25764705882352945
2007-01-31,0.3643867924528302
2007-02-28,0.3174425274553919
2007-03-30,0.17591499409681233
2007-04-30,0.11479289940828404
2007-05-31,0.29338341236868243
2007-06-29,0.2756403262131577
2007-07-31,0.1515844527328304
2007-08-31,0.13803295396636658
2007-09-28,0.20351055999094048
2007-10-31,0.22055170235069438
2007-11-30,0.15865384615384617
2007-12-31,0.170878459687124
2008-01-31,0.26474127557160043
2008-02-29,0.24396135265700483
2008-03-31,0.11038393645189767
2008-04-30,0.23236009732360086
2008-05-30,0.24479804161566718
2008-06-30,0.2306748466257668
2008-07-31,0.2666666666666667
2008-08-29,0.2694588721236687
2008-09-30,0.27930174563591015
2008-10-31,0.2986198243412799
2008-11-28,0.11363636363636359
2008-12-31,0.18170266836086407
2009-01-30,0.2809706257982119
2009-02-27,0.29653401797175877
2009-03-31,0.26261319534282007
2009-04-30,0.2330729166666666
2009-05-29,0.2601307189542484
2009-06-30,0.2
2009-07-31,0.09916266521286331
2009-08-31,0.24169986719787517
2009-09-30,0.26133333333333336
2009-10-30,0.24016049804775358
2009-11-30,0.08882907133243602
2009-12-31,0.1821862348178138
2010-01-29,0.21544715447154467
2010-02-26,0.2566791782195741
2010-03-31,0.28201634877384196
2010-04-30,0.23529411764705888
2010-05-28,0.2589041095890411
2010-06-30,0.25479452054794527
2010-07-30,0.08575380359612725
2010-08-31,0.26417704011065
2010-09-30,0.2742382271468144
2010-10-29,0.13663982160270086
2010-11-30,0.14845938375350146
2010-12-31,0.13521126760563373
2011-01-31,0.20028208744710863
2011-02-28,0.28813559322033905
2011-03-31,0.2956152758132956
2011-04-29,0.2400568181818182
2011-05-31,0.28205128205128205
2011-06-30,0.2869440459110472
2011-07-29,0.2575539568345323
2011-08-31,0.23741007194244595
2011-09-30,0.2507204610951008
2011-10-31,0.1026011560693642
2011-11-30,0.2191582002902758
2011-12-30,0.2386217460478656
2012-01-31,0.3728070175438597
2012-02-29,0.37335285505124455
2012-03-30,0.2445095168374817
2012-04-30,0.24158125915080528
2012-05-31,0.25953079178885624
2012-06-29,0.25697503671071953
2012-07-31,0.23816568047337278
2012-08-31,0.2414814814814815
2012-09-28,0.2644873699851413
2012-10-31,0.23459384690895305
2012-11-30,0.24803560671976446
2012-12-31,0.2481203007518797
2013-01-31,0.3975903614457831
2013-02-28,0.3731117824773414
2013-03-28,0.28580243245837356
2013-04-30,0.2522796352583586
2013-05-31,0.25796661608497723
2013-06-28,0.10166919575113809
2013-07-31,0.23216995447647953
2013-08-30,0.23333333333333336
2013-09-30,0.2178517397881997
2013-10-31,0.2677760968229954
2013-11-29,0.2730015082956259
2013-12-31,0.24585218702865758
2014-01-31,0.18882175226586106
2014-02-28,0.26957831325301207
2014-03-31,0.2803598200899551
2014-04-30,0.22260669745443182
2014-05-30,0.22321428571428578
2014-06-30,0.0950965824665676
2014-07-31,0.23781388478581966
2014-08-29,0.23746312684365792
2014-09-30,0.21681415929203549
2014-10-31,0.27876106194690276
2014-11-28,0.2546803257385428
2014-12-31,0.2546651650350862
2015-01-30,0.18556701030927844
2015-02-27,0.2466765140324962
2015-03-31,0.27095770326539553
2015-04-30,0.2339732632040324
2015-05-29,0.2769033530571992
2015-06-30,0.28
2015-07-31,0.2463126843657817
2015-08-31,0.09734513274336283
2015-09-30,0.11356932153392332
2015-10-30,0.1066666666666667
2015-11-30,0.18370370370370376
2015-12-31,0.22106824925816027
2016-01-29,0.23019431988041855
2016-02-29,0.26616541353383455
2016-03-31,0.2626986188386579
2016-04-29,0.2881431921644365
2016-05-31,0.28506097560975613
2016-06-30,0.2408536585365854
2016-07-29,0.222052067381317
2016-08-31,0.2502214620263304
2016-09-30,0.24574961360123648
2016-10-31,0.2294573643410852
2016-11-30,0.22034763349222403
2016-12-30,0.13530326594090206
2017-01-31,0.3494539781591264
2017-02-28,0.3812499999999999
2017-03-31,0.23981191222570541
2017-04-28,0.1849529780564264
2017-05-31,0.24137931034482768
2017-06-30,0.21350078492935637
2017-07-31,0.1695447409733124
2017-08-31,0.21698113207547165
2017-09-29,0.21169036334913116
2017-10-31,0.24626643450172864
2017-11-30,0.27210565754964405
2017-12-29,0.2834394904458598
2018-01-31,0.4114832535885167
2018-02-28,0.41307814992025516
2018-03-29,0.2907348242811502
2018-04-30,0.10063897763578283
2018-05-31,0.21086261980830667
2018-06-29,0.2496025437201907
2018-07-31,0.18888888888888897
2018-08-31,0.22187004754358158
2018-09-28,0.22345483359746432
2018-10-31,0.22380952380952382
2018-11-30,0.261904761904762
2018-12-31,0.26114649681528657
2019-01-31,0.3562300319488818
2019-02-28,0.3637820512820513
2019-03-29,0.3386837881219904
2019-04-30,0.2259615384615385
2019-05-31,0.20766773162939295
2019-06-28,0.25837320574162675
2019-07-31,0.2813990461049284
2019-08-30,0.27980922098569155
2019-09-30,0.15948963317384368
2019-10-31,0.21052631578947364
2019-11-29,0.21531100478468895
2019-12-31,0.25961538461538464
2020-01-31,0.23717948717948717
2020-02-28,0.17439999999999994
2020-03-31,0.24319999999999997
2020-04-30,0.24398073836276082
2020-05-29,0.18780096308186195
2020-06-30,0.2170418006430868
2020-07-31,0.21301282051282047
2020-08-31,0.1273885350318471
2020-09-30,0.2178060413354531
2020-10-30,0.24842767295597487
2020-11-30,0.19843750000000002
2020-12-31,0.16614906832298146
2021-01-29,0.3796296296296296
2021-02-26,0.3993799495155269
2021-03-31,0.26363636363636367
2021-04-30,0.27395209580838314
2021-05-28,0.24553571428571438
2021-06-30,0.2561162609373646
2021-07-30,0.24383164005805513
2021-08-31,0.1874675116750045
2021-09-30,0.1702432045779685
2021-10-29,0.19914651493598856
2021-11-30,0.19312660164087486
2021-12-31,0.17671809256661997
2022-01-31,0.22486033519553064
2022-02-28,0.2064156206415621
2022-03-31,0.21478382147838215
2022-04-29,0.259256885117889
2022-05-31,0.2759777469571062
2022-06-30,0.2635983263598327
2022-07-29,0.25418994413407814
2022-08-31,0.2517482517482518
2022-09-30,0.2573426573426574
2022-10-31,0.23109243697478987
2022-11-30,0.23001402524544184
2022-12-30,0.2704225352112676
2023-01-31,0.38107902432805024
2023-02-28,0.39801699716713884
2023-03-31,0.25356125356125353
2023-04-28,0.23142857142857143
2023-05-31,0.23352435530085963
2023-06-30,0.21007194244604313
2023-07-31,0.15286042807656636
2023-08-31,0.18523878437047758
2023-09-29,0.18974600977369493
2023-10-31,0.19331395348837205
2023-11-30,0.1941605839416059
2023-12-29,0.2514705882352941
2024-01-31,0.33431516936671574
2024-02-29,0.35545722713864303
2024-03-28,0.2204142011834319
2024-04-30,0.23851851851851852
2024-05-31,0.23555555555555552
2024-06-28,0.22882615156017835
2024-07-31,0.2402985074626866
2024-08-30,0.23189942983987177
2024-09-30,0.1902993114221333
2024-10-31,0.1924812030075188
2024-11-29,0.20921958510734667
