variant,signal,q,weighting,n_obs,n_months,mean_turnover,mean_ann,vol_ann,sharpe,max_drawdown,alpha_month,alpha_ann,t_alpha,boot_mean_ann,boot_ci_low,boot_ci_high
baseline,ocf,5,equal,1237537,359,0.2455783925764151,0.016684686307094312,0.1501708003564351,0.11110473053012095,-0.6008624039001703,0.0020768391589373694,0.024922069907248434,0.8311045319007832,0.011147428756387884,-0.05426154531974147,0.08295764622342401
baseline,ocf,5,value,1237537,359,0.4174365066126048,-0.004145578638568927,0.11900655799073943,-0.0348348755611562,-0.5614372286486919,0.001226616956759852,0.014719403481118224,0.8405347336882085,-0.006526061218422385,-0.04984997257707814,0.03448705069069494
baseline,ocf_kpc_only,5,equal,1237537,359,0.05247346575292677,-0.021403465442747887,0.1346261336970874,-0.1589844768988634,-0.7121137205692101,-0.002648001961508643,-0.031776023538103715,-1.5169279832698783,-0.02722941521558848,-0.07875778281006804,0.022994211452598244
baseline,ocf_kpc_only,5,value,1237537,359,0.13561065039483108,-0.07725118882323731,0.1197442338476823,-0.6451349375327983,-0.9250221197833247,-0.005802326382747008,-0.06962791659296409,-3.5149805673896366,-0.07795999733655803,-0.1322100912288559,-0.03695698215793285
baseline,ocf_core_roles,5,equal,1237537,359,0.5044387877909416,-0.02283550613392165,0.11810596659423409,-0.19334760802030873,-0.7192469966881565,-0.0023944585006693032,-0.02873350200803164,-1.5016213955582516,-0.02873286305194105,-0.07514454027879988,0.019034226314590275
baseline,ocf_core_roles,5,value,1237537,359,0.9189979609225206,-0.029721825372279718,0.12921403903309533,-0.23002009375054924,-0.7572907770738682,-0.0014172006503296143,-0.017006407803955372,-0.7807444160234028,-0.0312501837629693,-0.06992688972170648,0.008258327251879916
baseline,ocf_no_bench_credit,5,equal,1237537,359,0.06199055992602065,0.019869516627413424,0.15810321553619605,0.12567433597113975,-0.5885468644852148,0.0023476048467319702,0.02817125816078364,0.8735466027008247,0.014893377161964661,-0.05357624442473944,0.09006052408689603
baseline,ocf_no_bench_credit,5,value,1237537,359,0.1382557533391058,-0.00437768599185734,0.11423174225542401,-0.03832285059671736,-0.529364414507649,0.0005593845743829068,0.006712614892594882,0.34379472137879125,-0.005613633482039681,-0.046900156605514026,0.03366631588964675
exclude_financials,ocf,5,equal,1007596,359,0.25874117037809463,0.005922874927770174,0.13818809775501056,0.04286096287591032,-0.6958971996209821,0.0011682992057091086,0.014019590468509303,0.4888456250210152,-0.0006357135063111786,-0.05876225948704342,0.06860338812947926
exclude_financials,ocf,5,value,1007596,359,0.44436223045050505,-0.01374468546630413,0.12193068128258004,-0.1127254053018057,-0.7107945686903654,0.0004068864142422637,0.004882636970907165,0.2800921444937854,-0.015982494118062344,-0.05794268522015532,0.0256888071365368
exclude_financials,ocf_kpc_only,5,equal,1007596,359,0.054187306365581965,-0.011793658954087335,0.14698471340550198,-0.08023731639052113,-0.683008615337521,-0.0018937479638777015,-0.02272497556653242,-0.9535571467298403,-0.018925682166447324,-0.07336450688553106,0.03928548367730628
exclude_financials,ocf_kpc_only,5,value,1007596,359,0.1478867515503302,-0.07934094776940608,0.14200745717615018,-0.5587097279756883,-0.9386022359074073,-0.005892848168001291,-0.07071417801601548,-2.921360469065145,-0.08126018053291116,-0.14199824919066217,-0.03523854831510394
exclude_financials,ocf_core_roles,5,equal,1007596,359,0.5204444971527672,-0.020628178886475064,0.12878593387205575,-0.16017416084405947,-0.7406244579877852,-0.0021625167310547035,-0.025950200772656442,-1.213109219435146,-0.027192881982277012,-0.0754337549163065,0.027613740762520298
exclude_financials,ocf_core_roles,5,value,1007596,359,0.9415758458729506,-0.02766787959310414,0.14751769356573669,-0.18755634611908306,-0.7592029534224234,-0.0008363749594135129,-0.010036499512962154,-0.3978116155672481,-0.02874938160406951,-0.07495129825532461,0.018615196845820737
exclude_financials,ocf_no_bench_credit,5,equal,1007596,359,0.06873124928527755,0.0055364634695804285,0.14473019938505444,0.03825368508510568,-0.7030597192111796,0.0011772322097129571,0.014126786516555485,0.4657558517123156,-0.0008694287607080966,-0.058211316151648436,0.06497769976033616
exclude_financials,ocf_no_bench_credit,5,value,1007596,359,0.15032598108963155,-0.00042470695736296447,0.11747420687793096,-0.003615320917248526,-0.5028524090935221,0.0007164583327248005,0.008597499992697606,0.4119930942487489,-0.0030253992271783896,-0.05002513659606085,0.04146427438382898
exclude_utilities,ocf,5,equal,1198746,359,0.24555323540507915,0.01735362186193618,0.15154121439784268,0.11451420612466216,-0.6011490949511751,0.002160565165197952,0.02592678198237542,0.8515757083920953,0.011772029851280525,-0.0532614553452695,0.08375246718468028
exclude_utilities,ocf,5,value,1198746,359,0.41810364115943344,-0.005100682628128335,0.12226734066957498,-0.04171745782802971,-0.5851587355827123,0.0011611240638671615,0.013933488766405938,0.7787350779541593,-0.00747628843837555,-0.05133218585276399,0.03484668339340766
exclude_utilities,ocf_kpc_only,5,equal,1198746,359,0.053102653052360345,-0.022480778704999857,0.13533881911722961,-0.1661073951408365,-0.7280276608308838,-0.002760879078619837,-0.033130548943438046,-1.5864329774850783,-0.028483453717390028,-0.07903396133956203,0.020462884183174046
exclude_utilities,ocf_kpc_only,5,value,1198746,359,0.13839348166842563,-0.0781805318338674,0.12441554699019851,-0.6283823342433763,-0.9320975604030666,-0.005907141108825401,-0.07088569330590481,-3.5229042834562434,-0.07968775886392498,-0.13337619929452857,-0.03883964553318118
exclude_utilities,ocf_core_roles,5,equal,1198746,359,0.5042440315261393,-0.023000308591277586,0.11842026475265098,-0.1942261203293138,-0.7216525657119653,-0.002420899476031294,-0.02905079371237553,-1.5108810814026168,-0.028810672353372604,-0.07390422460654662,0.020142315956127917
exclude_utilities,ocf_core_roles,5,value,1198746,359,0.9175909360575497,-0.03332239076280949,0.12949129327778017,-0.2573330601566197,-0.8059989509331958,-0.0019767775287912064,-0.02372133034549448,-1.0980274815932842,-0.035601939188723467,-0.08000473132883047,0.007254674847957243
exclude_utilities,ocf_no_bench_credit,5,equal,1198746,359,0.06261874507154959,0.020005522561845818,0.15954054069491178,0.12539460174014475,-0.5943448056933275,0.002383326295846068,0.028599915550152816,0.8772014902581828,0.015040833513122258,-0.05293537954799142,0.09101501841152267
exclude_utilities,ocf_no_bench_credit,5,value,1198746,359,0.1402774418115003,-0.006086027281745579,0.1177294826255125,-0.0516950142480853,-0.5405258884178151,0.0003770492608289646,0.004524591129947575,0.2211926023215949,-0.007119665709474538,-0.05254026931912743,0.0340301384276832
exclude_financials_utilities,ocf,5,equal,968805,359,0.25927665937774014,0.004380354631287382,0.13666745615459552,0.032051190199460594,-0.7029280736109326,0.0009968625351564917,0.0119623504218779,0.4198763840425362,-0.0019568267830912542,-0.059066577411148714,0.06924256249304106
exclude_financials_utilities,ocf,5,value,968805,359,0.443870537953473,-0.01142101850193511,0.12375333748134391,-0.09228856962065247,-0.7050774852863126,0.0005253039201989047,0.006303647042386856,0.3534045553181383,-0.01336736179052512,-0.05390432316479201,0.02889269113486187
exclude_financials_utilities,ocf_kpc_only,5,equal,968805,359,0.05481841092872742,-0.013238489970445239,0.1479838206232711,-0.08945903622901483,-0.6827434317865186,-0.0020839117936467862,-0.025006941523761435,-1.062648425247165,-0.02013360839022527,-0.0740449519170499,0.03682692299195631
exclude_financials_utilities,ocf_kpc_only,5,value,968805,359,0.151986462498639,-0.08497766057423461,0.14936884548403537,-0.5689115444312454,-0.9526689449772845,-0.0063845765232357085,-0.0766149182788285,-2.9670254160624925,-0.0874048879618572,-0.15115291443258289,-0.03838437577221353
exclude_financials_utilities,ocf_core_roles,5,equal,968805,359,0.5202135981810574,-0.021678545220015645,0.12908697072418168,-0.1679375160668685,-0.7486511298414311,-0.002330414205881753,-0.027964970470581035,-1.3257140135905254,-0.028262971063840084,-0.07497353170039613,0.025259094531860087
exclude_financials_utilities,ocf_core_roles,5,value,968805,359,0.942865944244277,-0.030287717815271863,0.15613531244357468,-0.1939837781809766,-0.8116518270273061,-0.000856165835255289,-0.010273990023063468,-0.3901240651303234,-0.03170878136322845,-0.08045463695515277,0.01892793497680417
exclude_financials_utilities,ocf_no_bench_credit,5,equal,968805,359,0.06924071140899905,0.0037755985098861695,0.14368032097560313,0.026277770569062584,-0.7199991320200905,0.0010060615607743494,0.012072738729292192,0.39835961917857304,-0.002763583117887495,-0.05926693151682832,0.062357218685201436
exclude_financials_utilities,ocf_no_bench_credit,5,value,968805,359,0.14944343064178375,0.0021915646674574465,0.11988553525728678,0.018280476145467607,-0.4871140578545111,0.0010863054750967615,0.013035665701161138,0.6124701910482531,-0.00035213547134941425,-0.0459427777393686,0.04435890663532779
exclude_smallest_covered_firms,ocf,5,equal,990794,359,0.2798693842825307,0.013745330009514056,0.148504953294818,0.09255805752301255,-0.6248011385357778,0.0019265945498868151,0.02311913459864178,0.7950099219493231,0.009654192063451956,-0.04953944299233094,0.08085629867136579
exclude_smallest_covered_firms,ocf,5,value,990794,359,0.41970590235900324,-0.002390212718575792,0.11635331209843322,-0.020542713185110764,-0.5615772549322214,0.0013568745235340595,0.016282494282408716,0.9610479578942889,-0.006486681604750565,-0.04780247859256064,0.03554184154359955
exclude_smallest_covered_firms,ocf_kpc_only,5,equal,990794,359,0.08277789853909955,-0.07373365309431065,0.1050874622671472,-0.7016408190243406,-0.9144915136208808,-0.006080061530357857,-0.07296073836429429,-4.311575287354676,-0.07585061301748222,-0.1180200128045372,-0.04017953576837442
exclude_smallest_covered_firms,ocf_kpc_only,5,value,990794,359,0.1271826143564899,-0.07564633656472955,0.1158655247176449,-0.6528804555891295,-0.9191649041035793,-0.005714233041074702,-0.06857079649289642,-3.5657399273972397,-0.07563981214439859,-0.12275471806404363,-0.03570048646497228
exclude_smallest_covered_firms,ocf_core_roles,5,equal,990794,359,0.603167923142548,-0.05511258690632326,0.09415613123649741,-0.5853318969520294,-0.8498379520359163,-0.004564338957341138,-0.054772067488093656,-3.6330249830774375,-0.057040293394458555,-0.09489541539965955,-0.02431658326530099
exclude_smallest_covered_firms,ocf_core_roles,5,value,990794,359,0.9069561019610551,-0.02583768962270365,0.12276398540928067,-0.21046636386529677,-0.7087576866782798,-0.0006879021215253666,-0.008254825458304398,-0.40860490529704663,-0.028700269773806342,-0.0642597529411194,0.007779863634169131
exclude_smallest_covered_firms,ocf_no_bench_credit,5,equal,990794,359,0.08718449028497367,0.012926932200017786,0.15516735511933455,0.08330961232197372,-0.6403059562036311,0.0019018163830288718,0.022821796596346464,0.7331254636006778,0.009749140647804293,-0.05645554472749345,0.08326249846295153
exclude_smallest_covered_firms,ocf_no_bench_credit,5,value,990794,359,0.13396867686806108,-0.008568834910073393,0.11340433226542673,-0.07556003142823274,-0.6002340531326738,0.0002997225900557503,0.0035966710806690037,0.19457101060400817,-0.009343905013389314,-0.0510215522131073,0.02856913861410634
deeper_boardex_coverage,ocf,5,equal,635309,359,0.3110730465043371,0.03666807322564226,0.15258511425712865,0.2403122572222287,-0.5351688658733007,0.004181345952884205,0.05017615143461046,1.602717039011576,0.03455079046966662,-0.027751273308777323,0.10754019767291459
deeper_boardex_coverage,ocf,5,value,635309,359,0.4101861146720742,0.003668076335155608,0.11353472740469821,0.03230796795839066,-0.5314585274389347,0.0017265812260079698,0.020718974712095637,1.2622732798595935,-0.0017336467586390012,-0.03479134621765177,0.034517268441731155
deeper_boardex_coverage,ocf_kpc_only,5,equal,635309,359,0.10809335341666036,-0.0012356619478734719,0.11722468684057748,-0.010540970346578447,-0.4728737183038835,7.209382589186831e-06,8.651259107024197e-05,0.00434941397536823,-0.0012931004826041016,-0.050417777669936444,0.03786442466109003
deeper_boardex_coverage,ocf_kpc_only,5,value,635309,359,0.16720702564975143,-0.04601044823499128,0.13170790491197604,-0.34933702928264865,-0.8057409269826367,-0.0030196774178096676,-0.03623612901371601,-1.6135017657407364,-0.04311088266495418,-0.08883906072338613,-0.0023071674887370427
deeper_boardex_coverage,ocf_core_roles,5,equal,635309,359,0.774512499000267,0.00304521744428478,0.10089832118835278,0.03018105166091015,-0.48042901690215034,0.0005494199551436998,0.006593039461724398,0.3735028066346348,0.0019257915017767595,-0.038472446490185774,0.043446462097513704
deeper_boardex_coverage,ocf_core_roles,5,value,635309,359,0.9939169777907967,-0.016201894093345014,0.11132063440208567,-0.14554259576732578,-0.6497362195042484,-0.00030716179780687576,-0.0036859415736825094,-0.19920281382048027,-0.01880722097773949,-0.05028867309133188,0.020084528764533684
deeper_boardex_coverage,ocf_no_bench_credit,5,equal,635309,359,0.07905606806853054,0.04000737649550542,0.16012003526062737,0.24985865404279617,-0.5590665112947345,0.004404446066670254,0.052853352800043045,1.5743040309984258,0.03851425982005785,-0.02924494599318622,0.11538522460654554
deeper_boardex_coverage,ocf_no_bench_credit,5,value,635309,359,0.12159071248281549,-0.005554095202497769,0.10536936672237307,-0.05271072015770659,-0.5667363383400223,0.00039947743448873294,0.004793729213864796,0.28055320649600046,-0.005497846582505897,-0.03755891087353053,0.02640170975658063
high_analyst_coverage,ocf,5,equal,304175,252,0.3604375631919055,0.027859867196578562,0.13259951876763854,0.21010534167472317,-0.5216878262470801,0.00354095221273881,0.042491426552865724,1.2786897866334428,0.022150101449553834,-0.04064467107491739,0.08487148514433421
high_analyst_coverage,ocf,5,value,304175,252,0.4511127730128654,0.04186135707353365,0.12013664252611811,0.3484478689708084,-0.29406536670678174,0.004829632508686928,0.057955590104243136,2.8915703002488042,0.03682420484885214,0.004473230573575569,0.07177180337689994
high_analyst_coverage,ocf_kpc_only,5,equal,304175,252,0.13743935854344708,-0.03098640454518349,0.11760701155958775,-0.26347412568581136,-0.6239285069757043,-0.002150270295114988,-0.025803243541379858,-0.9586964828275267,-0.03493842732130798,-0.08639820999721586,0.017206546481069205
high_analyst_coverage,ocf_kpc_only,5,value,304175,252,0.17831301812551364,-0.049520861788753395,0.12720713593638314,-0.38929311177573406,-0.7079495657618045,-0.003177921515362753,-0.03813505818435304,-1.3432256702189054,-0.04726471043984868,-0.1071022347399226,0.004335257255796492
high_analyst_coverage,ocf_core_roles,5,equal,304175,252,0.7645585027932197,-0.030393057740800256,0.0997980310597535,-0.30454566506029146,-0.5880186446223367,-0.0016909676059485748,-0.020291611271382896,-0.8409075256101091,-0.03467833848391894,-0.07757057747619585,0.00955532248862889
high_analyst_coverage,ocf_core_roles,5,value,304175,252,0.9919630374619882,-0.013093733050552331,0.11226427499757176,-0.11663312350109191,-0.4701358220466997,5.865849587066664e-05,0.0007039019504479996,0.029593914815752867,-0.016233172737034302,-0.0540617060690668,0.03073524645091608
high_analyst_coverage,ocf_no_bench_credit,5,equal,304175,252,0.15393109234929273,0.028453017561734052,0.13867828033134091,0.20517284677710088,-0.5244231212749607,0.003552052943870357,0.04262463532644428,1.203947431196293,0.022791509224315186,-0.044233472772053334,0.08788563483444614
high_analyst_coverage,ocf_no_bench_credit,5,value,304175,252,0.1730313427535372,0.01806588170500775,0.11249470627006943,0.16059317192789893,-0.28813870851604373,0.002145433883048212,0.025745206596578543,1.1869099063904485,0.01830947257960748,-0.01691255540147927,0.05415213160043103
low_analyst_coverage,ocf,5,equal,266950,252,0.354905315284437,0.07414509928480562,0.1710237677847758,0.4335368133048807,-0.42168367660345374,0.007304676815118323,0.08765612178141988,1.7520988138250697,0.06450998133657844,-0.023212570835173942,0.1691422029483681
low_analyst_coverage,ocf,5,value,266950,252,0.45242309149693843,0.0393373122266638,0.20794001276456772,0.18917625186068443,-0.5484158451414576,0.005927331597378458,0.0711279791685415,1.121882966821155,0.028085861222805413,-0.07130246212989831,0.15280189020482543
low_analyst_coverage,ocf_kpc_only,5,equal,266950,252,0.22265070325224795,-0.06184904688975168,0.10438463298310185,-0.592511034643998,-0.8074798553709688,-0.006313189334678384,-0.0757582720161406,-2.79002394455125,-0.06530313283093164,-0.12188227641243643,-0.007604072731339577
low_analyst_coverage,ocf_kpc_only,5,value,266950,252,0.33911290887355866,-0.07626538794368327,0.14161286033126153,-0.5385484606785209,-0.8525443012103102,-0.005579470521852412,-0.06695364626222895,-2.227753260266892,-0.07834939106319294,-0.15961375001260475,-0.008405206629656941
